                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91456,                0.71016,                 1.8849,                0.86964,                0.81277,                0.94023,                 0.6469,                 1.8804,                 1.1185,                 2.3829,               0.008845,               0.008845,               0.008845
                     37,                0.91599,                0.70495,                 1.8856,                0.87381,                0.81171,                0.93968,                0.64778,                 1.8807,                 1.1225,                 2.3848,               0.008812,               0.008812,               0.008812
                     38,                0.91512,                0.70965,                 1.8849,                0.87083,                 0.8125,                0.94164,                0.64772,                 1.8797,                 1.1243,                 2.3821,               0.008779,               0.008779,               0.008779
                     39,                0.91197,                0.70528,                 1.8873,                0.87287,                0.81478,                0.94162,                0.64899,                 1.8789,                 1.1248,                 2.3831,               0.008746,               0.008746,               0.008746
                     40,                0.90328,                 0.6963,                 1.8749,                0.87105,                0.81329,                0.94181,                0.64863,                 1.8769,                 1.1251,                 2.3825,               0.008713,               0.008713,               0.008713
                     41,                0.91062,                0.70348,                 1.8754,                0.87336,                0.80775,                0.94281,                0.65002,                 1.8772,                 1.1205,                 2.3811,                0.00868,                0.00868,                0.00868
                     42,                0.90445,                0.70175,                 1.8809,                0.86985,                0.81408,                0.94221,                0.65024,                 1.8794,                  1.126,                 2.3822,               0.008647,               0.008647,               0.008647
                     43,                  0.905,                0.69654,                 1.8808,                 0.8693,                0.81408,                0.94145,                0.64969,                  1.879,                 1.1264,                 2.3823,               0.008614,               0.008614,               0.008614
                     44,                0.90628,                0.69289,                 1.8791,                0.87374,                0.81576,                0.94214,                0.64961,                 1.8808,                 1.1321,                 2.3827,               0.008581,               0.008581,               0.008581
                     45,                0.90588,                0.68811,                 1.8825,                0.87347,                0.81373,                0.94183,                0.64878,                 1.8832,                 1.1344,                 2.3845,               0.008548,               0.008548,               0.008548
                     46,                0.90081,                0.70243,                 1.8825,                0.87405,                0.81255,                0.94144,                0.64842,                 1.8829,                 1.1398,                 2.3877,               0.008515,               0.008515,               0.008515
                     47,                0.89953,                0.68955,                 1.8773,                0.86398,                0.81171,                0.93908,                0.64523,                 1.8841,                 1.1478,                 2.3873,               0.008482,               0.008482,               0.008482
                     48,                0.89209,                 0.6892,                 1.8778,                0.86917,                0.81329,                0.93954,                  0.646,                 1.8822,                 1.1439,                 2.3849,               0.008449,               0.008449,               0.008449
                     49,                0.89386,                0.69782,                 1.8754,                0.81328,                0.88291,                0.94139,                0.64852,                 1.8803,                  1.142,                 2.3843,               0.008416,               0.008416,               0.008416
                     50,                0.88962,                0.69462,                 1.8748,                0.81648,                0.86237,                0.93897,                0.64828,                 1.8809,                 1.1401,                 2.3858,               0.008383,               0.008383,               0.008383
                     51,                0.89108,                0.70314,                 1.8724,                 0.8595,                 0.8125,                0.93663,                0.64532,                 1.8826,                 1.1446,                 2.3869,                0.00835,                0.00835,                0.00835
                     52,                0.89136,                0.68693,                 1.8777,                0.86158,                0.81252,                0.93779,                0.64779,                 1.8794,                 1.1443,                  2.386,               0.008317,               0.008317,               0.008317
                     53,                0.89019,                0.68504,                 1.8724,                0.86754,                0.80538,                0.93815,                0.64701,                 1.8781,                 1.1427,                 2.3904,               0.008284,               0.008284,               0.008284
                     54,                0.88487,                0.69083,                 1.8726,                0.80827,                0.86382,                0.93881,                 0.6471,                 1.8763,                 1.1491,                 2.3953,               0.008251,               0.008251,               0.008251
                     55,                0.87543,                0.67517,                 1.8723,                0.81024,                0.87491,                0.93959,                0.64798,                 1.8738,                 1.1452,                 2.3964,               0.008218,               0.008218,               0.008218
                     56,                0.87932,                0.69657,                 1.8742,                0.80697,                0.87647,                0.93931,                0.64658,                 1.8749,                 1.1405,                 2.3994,               0.008185,               0.008185,               0.008185
                     57,                0.87283,                0.67871,                 1.8769,                0.80649,                0.88367,                0.93816,                0.64671,                 1.8774,                  1.142,                 2.4008,               0.008152,               0.008152,               0.008152
                     58,                0.88225,                0.67474,                 1.8684,                0.80854,                0.88205,                0.93943,                0.64795,                 1.8748,                 1.1566,                 2.3967,               0.008119,               0.008119,               0.008119
                     59,                0.87603,                0.68711,                 1.8714,                0.80673,                 0.8916,                0.93839,                0.64855,                  1.876,                 1.1439,                 2.3996,               0.008086,               0.008086,               0.008086
                     60,                 0.8734,                 0.6888,                 1.8684,                0.80661,                0.89082,                0.93687,                0.64698,                 1.8778,                 1.1569,                 2.4009,               0.008053,               0.008053,               0.008053
                     61,                0.87831,                  0.681,                 1.8709,                0.79954,                0.91535,                 0.9363,                0.64698,                 1.8772,                 1.1527,                  2.401,                0.00802,                0.00802,                0.00802
                     62,                0.87183,                0.69002,                 1.8766,                0.80813,                0.89635,                0.93796,                0.64895,                 1.8764,                 1.1568,                 2.4033,               0.007987,               0.007987,               0.007987
                     63,                0.86885,                0.67486,                 1.8784,                0.80413,                0.91614,                0.93614,                0.64587,                 1.8767,                 1.1527,                 2.4039,               0.007954,               0.007954,               0.007954
                     64,                 0.8752,                0.67538,                  1.871,                0.80558,                0.91459,                0.93782,                0.64657,                 1.8773,                 1.1599,                 2.4056,               0.007921,               0.007921,               0.007921
                     65,                 0.8679,                0.66815,                 1.8644,                0.80665,                 0.9209,                0.93882,                0.64777,                 1.8763,                 1.1601,                 2.4045,               0.007888,               0.007888,               0.007888
                     66,                0.86341,                0.67294,                  1.863,                 0.7986,                0.93513,                0.93879,                 0.6487,                 1.8772,                 1.1616,                 2.4077,               0.007855,               0.007855,               0.007855
                     67,                 0.8681,                0.67076,                 1.8644,                0.79994,                0.93671,                0.93843,                0.64876,                 1.8769,                 1.1723,                 2.4086,               0.007822,               0.007822,               0.007822
                     68,                0.86427,                0.67456,                 1.8684,                0.79721,                0.94238,                0.93738,                0.64871,                 1.8763,                 1.1596,                   2.41,               0.007789,               0.007789,               0.007789
                     69,                0.87206,                0.67916,                 1.8758,                  0.801,                0.94304,                0.94223,                0.65183,                 1.8767,                 1.1578,                 2.4109,               0.007756,               0.007756,               0.007756
                     70,                0.86842,                0.66085,                 1.8658,                0.80042,                0.93599,                0.93826,                0.64696,                 1.8777,                 1.1691,                 2.4093,               0.007723,               0.007723,               0.007723
                     71,                0.84963,                0.64347,                 1.8676,                0.79579,                0.94066,                0.93865,                0.64587,                  1.878,                 1.1776,                 2.4119,                0.00769,                0.00769,                0.00769
                     72,                0.86434,                0.65032,                 1.8652,                 0.8028,                 0.9375,                0.94085,                0.64861,                 1.8819,                 1.1751,                 2.4132,               0.007657,               0.007657,               0.007657
                     73,                0.86495,                0.63466,                 1.8626,                0.80217,                 0.9367,                0.94007,                0.64669,                 1.8845,                 1.1819,                 2.4132,               0.007624,               0.007624,               0.007624
                     74,                0.86558,                0.62898,                 1.8751,                0.79974,                0.94465,                0.94085,                0.64771,                  1.883,                 1.1713,                 2.4144,               0.007591,               0.007591,               0.007591
                     75,                0.85956,                0.60217,                 1.8645,                0.80019,                0.95728,                0.94311,                0.64901,                 1.8833,                 1.1666,                  2.414,               0.007558,               0.007558,               0.007558
                     76,                0.85534,                0.60351,                 1.8616,                0.79975,                0.95739,                0.94308,                0.64965,                  1.885,                 1.1704,                 2.4141,               0.007525,               0.007525,               0.007525
                     77,                0.85663,                0.59266,                 1.8666,                0.80851,                0.95886,                0.94512,                0.65128,                  1.883,                 1.1608,                 2.4124,               0.007492,               0.007492,               0.007492
                     78,                0.85459,                0.58692,                 1.8551,                0.80952,                 0.9549,                0.94458,                0.65031,                  1.886,                 1.1644,                 2.4142,               0.007459,               0.007459,               0.007459
                     79,                0.84711,                0.58116,                 1.8606,                0.81037,                0.96361,                0.94528,                0.65023,                 1.8869,                 1.1634,                 2.4146,               0.007426,               0.007426,               0.007426
                     80,                 0.8464,                 0.5799,                 1.8652,                0.81228,                0.96203,                0.94436,                0.65026,                 1.8864,                 1.1634,                 2.4127,               0.007393,               0.007393,               0.007393
                     81,                0.84365,                0.57747,                 1.8726,                0.81533,                0.96755,                0.94666,                0.65202,                 1.8841,                  1.166,                 2.4098,                0.00736,                0.00736,                0.00736
                     82,                0.84375,                0.58286,                  1.871,                0.81653,                0.96827,                0.94572,                0.65189,                  1.885,                 1.1695,                 2.4116,               0.007327,               0.007327,               0.007327
